epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,217.518,1.87458,2.92406,1.77107,1.45908,0.45378,0.44183,0.42418,0.19151,0.41257,0.44779,0.39961,0.16467,1.98217,2.72706,2.11185,1.64221,0.000911469,0.000911469,0.000911469
31,223.66,1.90889,2.90154,1.77202,1.4826,0.61061,0.48631,0.56848,0.26052,0.63305,0.47272,0.55851,0.24315,1.84093,2.42116,1.70252,1.58857,0.000905463,0.000905463,0.000905463
32,230.136,1.874,2.89283,1.76089,1.47238,0.49442,0.5193,0.54624,0.24634,0.59062,0.50967,0.54469,0.22225,1.81904,2.57546,1.88257,1.58828,0.000899282,0.000899282,0.000899282
33,236.275,1.89017,2.89081,1.74257,1.48811,0.61929,0.50112,0.56396,0.24857,0.57023,0.52803,0.55011,0.23168,1.86954,2.62359,1.84364,1.59775,0.000892928,0.000892928,0.000892928
34,242.323,1.85877,2.85377,1.76457,1.49537,0.68934,0.47407,0.57675,0.28523,0.53419,0.57507,0.55743,0.24296,1.69209,2.63076,1.61619,1.49526,0.000886404,0.000886404,0.000886404
35,248.697,1.88287,2.8603,1.7458,1.48882,0.49444,0.49727,0.48631,0.22523,0.47141,0.4783,0.45664,0.1889,1.84741,2.90368,1.84099,1.55681,0.000879713,0.000879713,0.000879713
36,254.815,1.80664,2.80408,1.68101,1.45019,0.52806,0.55097,0.59048,0.27925,0.51128,0.55808,0.57681,0.25402,1.77994,2.37497,1.57274,1.5173,0.000872857,0.000872857,0.000872857
37,261.253,1.84336,2.7807,1.67189,1.45394,0.53151,0.5333,0.53123,0.25945,0.52946,0.53074,0.52961,0.2311,1.8918,2.56913,1.68715,1.59907,0.000865839,0.000865839,0.000865839
38,267.385,1.87868,2.84159,1.73645,1.4909,0.58782,0.54728,0.54874,0.26699,0.58861,0.52596,0.55067,0.25058,1.90174,2.45226,1.70044,1.61356,0.000858664,0.000858664,0.000858664
39,273.517,1.86645,2.7921,1.66193,1.48211,0.77083,0.41577,0.59039,0.27408,0.74871,0.41676,0.56142,0.2561,1.82008,2.27011,1.69384,1.58841,0.000851333,0.000851333,0.000851333
40,279.607,1.84706,2.82278,1.68669,1.4738,0.47371,0.63811,0.59455,0.28828,0.48902,0.57653,0.56597,0.26933,1.76107,2.30341,1.65391,1.52785,0.000843851,0.000843851,0.000843851
