epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,805.481,1.32826,2.05456,0.93045,1.16914,0.8163,0.85898,0.90045,0.57493,0.83917,0.82027,0.88852,0.5412,1.35135,1.80293,0.75598,1.32341,8.15947e-05,8.15947e-05,8.15947e-05
126,811.859,1.27149,1.96249,0.8884,1.16048,0.81968,0.86681,0.89914,0.58088,0.81425,0.84818,0.88714,0.54089,1.33216,1.80484,0.75475,1.30607,7.63174e-05,7.63174e-05,7.63174e-05
127,818.244,1.28425,2.00983,0.89874,1.15935,0.82862,0.84928,0.89804,0.57264,0.82314,0.82987,0.88525,0.53723,1.35452,1.81155,0.7586,1.31878,7.12282e-05,7.12282e-05,7.12282e-05
128,824.289,1.32321,2.01023,0.93278,1.19858,0.84195,0.8414,0.89736,0.57546,0.82392,0.82165,0.87626,0.53488,1.376,1.81599,0.75115,1.34551,6.63292e-05,6.63292e-05,6.63292e-05
129,830.512,1.31436,2.03523,0.90203,1.16767,0.88911,0.80812,0.90103,0.5782,0.88325,0.80012,0.88869,0.54026,1.37979,1.81448,0.75876,1.34741,6.16227e-05,6.16227e-05,6.16227e-05
130,836.522,1.25729,1.91529,0.86968,1.14854,0.87559,0.81326,0.89641,0.58177,0.86933,0.80532,0.88354,0.53855,1.37198,1.81062,0.75397,1.34467,5.71106e-05,5.71106e-05,5.71106e-05
131,842.62,1.28965,2.01123,0.90462,1.14861,0.84409,0.84129,0.89777,0.57951,0.83569,0.83043,0.88683,0.54447,1.35395,1.79897,0.7445,1.33092,5.2795e-05,5.2795e-05,5.2795e-05
132,849.006,1.27137,1.94485,0.88836,1.14399,0.85691,0.83139,0.89636,0.58234,0.86016,0.8198,0.88876,0.54494,1.34002,1.82351,0.74903,1.31908,4.86777e-05,4.86777e-05,4.86777e-05
133,855.435,1.25554,1.94105,0.86424,1.13121,0.86777,0.83255,0.89773,0.57853,0.87144,0.81153,0.88728,0.5425,1.3295,1.84325,0.76053,1.30578,4.47606e-05,4.47606e-05,4.47606e-05
134,861.623,1.27632,1.97707,0.87469,1.12634,0.84851,0.84959,0.904,0.5847,0.85465,0.83215,0.89118,0.54277,1.29095,1.8248,0.74309,1.28431,4.10454e-05,4.10454e-05,4.10454e-05
135,868.045,1.2558,1.91567,0.88678,1.13932,0.84387,0.86205,0.90683,0.58109,0.83352,0.84272,0.89252,0.54639,1.30323,1.82908,0.7353,1.30144,3.75337e-05,3.75337e-05,3.75337e-05
136,874.447,1.26249,1.92434,0.88611,1.13445,0.83577,0.85156,0.90106,0.57916,0.85406,0.81706,0.89078,0.54677,1.31604,1.82913,0.74073,1.30499,3.4227e-05,3.4227e-05,3.4227e-05
137,880.447,1.28985,1.9852,0.90679,1.16223,0.82034,0.86439,0.89714,0.57949,0.84788,0.81368,0.88714,0.54439,1.3287,1.8369,0.74204,1.29568,3.11268e-05,3.11268e-05,3.11268e-05
138,886.591,1.26719,1.96332,0.8889,1.13401,0.82143,0.86741,0.90127,0.58268,0.82311,0.85114,0.89152,0.54279,1.32087,1.83741,0.73656,1.28885,2.82345e-05,2.82345e-05,2.82345e-05
139,892.642,1.27229,1.96317,0.89211,1.14909,0.82208,0.86093,0.90151,0.58117,0.82661,0.84013,0.89111,0.54661,1.32536,1.83982,0.73698,1.29241,2.55513e-05,2.55513e-05,2.55513e-05
140,899.045,1.27605,1.95853,0.89204,1.15135,0.83902,0.84386,0.89781,0.58114,0.83309,0.83634,0.88863,0.54626,1.33182,1.84834,0.73666,1.29835,2.30784e-05,2.30784e-05,2.30784e-05
141,906.168,1.17424,1.76814,0.77445,1.17531,0.83075,0.86483,0.89681,0.58207,0.849,0.82085,0.88672,0.54872,1.32174,1.85358,0.73498,1.29418,2.08169e-05,2.08169e-05,2.08169e-05
142,912.318,1.18743,1.80877,0.80761,1.19847,0.82427,0.88237,0.90096,0.58539,0.81111,0.85752,0.88754,0.55334,1.29738,1.81927,0.72151,1.28129,1.87678e-05,1.87678e-05,1.87678e-05
143,918.401,1.14288,1.73939,0.74112,1.15791,0.82507,0.88072,0.90151,0.58955,0.85603,0.82194,0.88885,0.5546,1.28826,1.79101,0.7109,1.27651,1.6932e-05,1.6932e-05,1.6932e-05
144,924.494,1.16877,1.72377,0.75086,1.14635,0.83512,0.86746,0.90051,0.58725,0.81662,0.85446,0.88347,0.55136,1.29923,1.8024,0.71525,1.28582,1.53102e-05,1.53102e-05,1.53102e-05
145,930.293,1.09653,1.69995,0.73399,1.15512,0.88602,0.82558,0.90319,0.58191,0.87277,0.80615,0.88522,0.54586,1.31809,1.83209,0.72631,1.29853,1.39032e-05,1.39032e-05,1.39032e-05
146,936.143,1.11231,1.69607,0.74806,1.15516,0.88473,0.82408,0.90236,0.58216,0.87449,0.80582,0.88376,0.54437,1.32708,1.85755,0.73434,1.30701,1.27117e-05,1.27117e-05,1.27117e-05
147,941.96,1.11743,1.70266,0.74856,1.1592,0.87943,0.82164,0.90424,0.58306,0.86613,0.80617,0.88622,0.5486,1.32522,1.854,0.73163,1.30988,1.1736e-05,1.1736e-05,1.1736e-05
148,947.757,1.07458,1.6741,0.72161,1.13481,0.88144,0.82352,0.90583,0.58383,0.86652,0.80879,0.88946,0.54859,1.32229,1.845,0.72776,1.30703,1.09768e-05,1.09768e-05,1.09768e-05
149,953.541,1.11,1.71512,0.74373,1.15598,0.87868,0.81957,0.90361,0.58383,0.86605,0.80577,0.88927,0.54959,1.3154,1.8284,0.72204,1.3031,1.04342e-05,1.04342e-05,1.04342e-05
150,959.314,1.09525,1.68625,0.73893,1.14534,0.8569,0.84829,0.90329,0.58801,0.86364,0.81663,0.88962,0.5515,1.30269,1.80356,0.71801,1.29322,1.01086e-05,1.01086e-05,1.01086e-05
