epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,217.527,1.41915,1.31154,1.76087,0.70106,0.74793,0.76645,0.47595,1.27617,1.22061,1.94225,0.000828443,0.000828443,0.000828443
43,222.453,1.39889,1.28736,1.76703,0.76142,0.6854,0.78652,0.50371,1.27341,1.20733,1.84958,0.000820525,0.000820525,0.000820525
44,227.365,1.41105,1.28499,1.7627,0.71628,0.74981,0.80843,0.48175,1.32552,1.21334,1.95755,0.000812468,0.000812468,0.000812468
45,231.859,1.42971,1.30876,1.79199,0.72612,0.72033,0.81973,0.50105,1.2784,1.18271,1.87753,0.000804277,0.000804277,0.000804277
46,236.383,1.42893,1.30689,1.73829,0.66184,0.76446,0.81549,0.50056,1.33677,1.33725,1.89418,0.000795954,0.000795954,0.000795954
47,240.886,1.40977,1.31785,1.72294,0.7045,0.7311,0.81167,0.5155,1.30507,1.18528,1.90003,0.000787503,0.000787503,0.000787503
48,245.758,1.37639,1.25631,1.73552,0.68222,0.7331,0.79941,0.47704,1.27972,1.27727,1.97532,0.000778929,0.000778929,0.000778929
49,250.297,1.40152,1.2492,1.73116,0.78584,0.75015,0.85401,0.53483,1.21595,1.11151,1.84417,0.000770234,0.000770234,0.000770234
50,255.145,1.37896,1.22137,1.7123,0.78906,0.777,0.8509,0.532,1.2348,1.12254,1.87332,0.000761423,0.000761423,0.000761423
51,259.741,1.34697,1.21459,1.72402,0.83231,0.80385,0.8801,0.5691,1.19549,1.03074,1.82768,0.0007525,0.0007525,0.0007525
52,264.638,1.4091,1.24025,1.74237,0.81284,0.81619,0.87131,0.5604,1.19815,1.04321,1.83867,0.000743468,0.000743468,0.000743468
53,269.244,1.3491,1.21303,1.71715,0.74933,0.82199,0.85288,0.55116,1.25323,1.11254,1.8868,0.000734332,0.000734332,0.000734332
54,273.764,1.35781,1.19927,1.71368,0.80489,0.77934,0.85348,0.52732,1.28559,1.07926,1.91202,0.000725094,0.000725094,0.000725094
55,278.313,1.36049,1.19658,1.70363,0.83119,0.78042,0.85141,0.53507,1.25451,1.10361,1.90349,0.000715761,0.000715761,0.000715761
56,282.828,1.34753,1.14703,1.66787,0.8415,0.76149,0.84636,0.54709,1.19874,1.09603,1.86926,0.000706335,0.000706335,0.000706335
57,287.393,1.31624,1.14499,1.67593,0.80006,0.79784,0.86201,0.55672,1.17423,1.05494,1.88543,0.00069682,0.00069682,0.00069682
58,292.005,1.30359,1.12822,1.67274,0.76785,0.85294,0.87325,0.5861,1.13135,0.98344,1.8086,0.000687222,0.000687222,0.000687222
59,296.913,1.32377,1.11442,1.65585,0.81186,0.79256,0.8654,0.56273,1.17245,1.02023,1.86379,0.000677543,0.000677543,0.000677543
60,301.586,1.35262,1.17582,1.66488,0.77412,0.78749,0.8569,0.56321,1.16851,1.05032,1.83632,0.000667789,0.000667789,0.000667789
61,306.073,1.27696,1.10073,1.65554,0.81449,0.77724,0.86523,0.55713,1.25341,1.03709,1.88354,0.000657963,0.000657963,0.000657963
62,310.604,1.25279,1.05201,1.63527,0.79873,0.81172,0.86588,0.58072,1.14878,1.00984,1.83497,0.000648071,0.000648071,0.000648071
63,315.138,1.31324,1.12725,1.69841,0.83953,0.81465,0.88147,0.58855,1.18396,0.96688,1.93167,0.000638115,0.000638115,0.000638115
64,320.058,1.30837,1.09762,1.65749,0.79686,0.83392,0.87218,0.59248,1.10617,0.96138,1.79062,0.000628101,0.000628101,0.000628101
65,324.999,1.28093,1.09075,1.67513,0.84719,0.81656,0.88452,0.59426,1.14354,0.93747,1.80536,0.000618034,0.000618034,0.000618034
66,329.882,1.29884,1.09819,1.69951,0.75675,0.86434,0.87389,0.60144,1.11285,0.94255,1.79856,0.000607916,0.000607916,0.000607916
67,334.783,1.28788,1.08273,1.63016,0.84561,0.73752,0.85846,0.55573,1.23402,0.99781,1.89226,0.000597754,0.000597754,0.000597754
68,339.273,1.25506,1.06652,1.66333,0.78802,0.8148,0.85828,0.57707,1.13059,0.96897,1.80524,0.000587551,0.000587551,0.000587551
69,343.878,1.25785,1.03032,1.64417,0.81252,0.84715,0.88197,0.58889,1.14375,0.92978,1.84778,0.000577311,0.000577311,0.000577311
70,348.403,1.26211,1.07493,1.64516,0.83641,0.82143,0.88859,0.59026,1.13576,0.94795,1.8049,0.00056704,0.00056704,0.00056704
71,353.014,1.28967,1.04189,1.63725,0.85332,0.85241,0.90224,0.62586,1.08923,0.87589,1.79235,0.000556742,0.000556742,0.000556742
72,357.889,1.22834,1.03086,1.6122,0.84897,0.85078,0.90055,0.61994,1.1079,0.90042,1.85391,0.000546421,0.000546421,0.000546421
73,362.431,1.22042,0.99572,1.59964,0.85732,0.85241,0.91905,0.64364,1.11173,0.84585,1.7573,0.000536081,0.000536081,0.000536081
74,367.315,1.26143,1.0014,1.63324,0.85949,0.84961,0.91596,0.63542,1.07152,0.86998,1.79011,0.000525728,0.000525728,0.000525728
75,371.913,1.25473,1.06287,1.6362,0.8254,0.86499,0.91052,0.62247,1.08815,0.89641,1.79552,0.000515366,0.000515366,0.000515366
76,376.41,1.23129,0.98398,1.57667,0.83826,0.88541,0.90718,0.61707,1.09784,0.87167,1.79444,0.000505,0.000505,0.000505
77,381.031,1.22076,1.00189,1.63474,0.86332,0.87193,0.91312,0.61784,1.11159,0.85898,1.78642,0.000494634,0.000494634,0.000494634
78,385.67,1.21326,0.96647,1.59912,0.86673,0.84285,0.91612,0.63807,1.10373,0.84359,1.72168,0.000484272,0.000484272,0.000484272
79,390.166,1.21933,0.9699,1.60338,0.84264,0.83301,0.90054,0.60315,1.15267,0.87244,1.79259,0.000473919,0.000473919,0.000473919
80,394.691,1.2332,0.99323,1.63344,0.85243,0.8371,0.90924,0.61537,1.09267,0.86699,1.84632,0.000463579,0.000463579,0.000463579
81,399.223,1.19172,0.94957,1.5708,0.85087,0.85877,0.91632,0.59979,1.16215,0.89957,1.94581,0.000453258,0.000453258,0.000453258
82,403.751,1.18643,0.94265,1.5556,0.86881,0.8598,0.91322,0.63667,1.07542,0.83549,1.85157,0.00044296,0.00044296,0.00044296
83,408.392,1.17508,0.94163,1.58897,0.8754,0.86087,0.91171,0.63778,1.10347,0.83492,1.82781,0.000432689,0.000432689,0.000432689
84,412.955,1.17432,0.91607,1.52668,0.89512,0.8186,0.91644,0.61982,1.13133,0.86194,1.88135,0.000422449,0.000422449,0.000422449
85,417.439,1.23807,0.98914,1.61114,0.8346,0.87842,0.9191,0.63351,1.0715,0.83151,1.79662,0.000412246,0.000412246,0.000412246
86,421.996,1.18551,0.92325,1.58812,0.83988,0.87366,0.9156,0.64569,1.04879,0.80833,1.78998,0.000402084,0.000402084,0.000402084
87,426.898,1.15726,0.91047,1.55155,0.83467,0.86581,0.90953,0.63227,1.08865,0.82997,1.84,0.000391966,0.000391966,0.000391966
88,431.409,1.19202,0.94565,1.5805,0.86987,0.86338,0.92052,0.64662,1.08708,0.79331,1.8001,0.000381899,0.000381899,0.000381899
89,436.276,1.18093,0.8977,1.55169,0.87711,0.85922,0.92891,0.65519,1.06933,0.79143,1.79713,0.000371885,0.000371885,0.000371885
90,441.291,1.17108,0.92107,1.5591,0.84797,0.8617,0.9182,0.64348,1.09816,0.81439,1.81739,0.000361929,0.000361929,0.000361929
91,445.874,1.17977,0.92243,1.54165,0.88292,0.85797,0.92679,0.65167,1.08989,0.81071,1.7816,0.000352037,0.000352037,0.000352037
92,450.362,1.15648,0.93504,1.57694,0.88492,0.87697,0.9363,0.66475,1.06674,0.7912,1.77566,0.000342211,0.000342211,0.000342211
93,455.294,1.10847,0.87715,1.51717,0.86921,0.89576,0.93163,0.66115,1.04569,0.79818,1.77535,0.000332457,0.000332457,0.000332457
94,459.869,1.16409,0.90387,1.56677,0.90583,0.88382,0.93832,0.68297,1.01177,0.76686,1.72322,0.000322778,0.000322778,0.000322778
95,464.745,1.11526,0.85666,1.50305,0.88233,0.87055,0.9244,0.64723,1.10042,0.81018,1.84529,0.00031318,0.00031318,0.00031318
96,469.427,1.13335,0.89657,1.53786,0.89444,0.90098,0.93916,0.68175,1.02595,0.74705,1.80614,0.000303665,0.000303665,0.000303665
97,474.051,1.13455,0.85407,1.5444,0.88853,0.88991,0.93573,0.66886,1.06089,0.76886,1.81056,0.000294239,0.000294239,0.000294239
98,478.588,1.14298,0.8893,1.55715,0.90065,0.87458,0.93537,0.65695,1.07694,0.77152,1.81879,0.000284906,0.000284906,0.000284906
99,483.183,1.15504,0.91261,1.5519,0.90379,0.88442,0.94008,0.69311,0.98351,0.74788,1.74776,0.000275668,0.000275668,0.000275668
100,488.04,1.12728,0.85393,1.49648,0.88081,0.88252,0.92352,0.6607,1.03794,0.79935,1.85859,0.000266532,0.000266532,0.000266532
101,492.626,1.14127,0.90136,1.56597,0.87756,0.88533,0.92256,0.65187,1.05295,0.79173,1.83305,0.0002575,0.0002575,0.0002575
102,497.297,1.14877,0.89008,1.53364,0.89814,0.85797,0.92746,0.67235,1.01766,0.76177,1.76673,0.000248577,0.000248577,0.000248577
103,501.924,1.15549,0.89411,1.55067,0.88467,0.86998,0.92867,0.66231,1.07602,0.77748,1.8181,0.000239766,0.000239766,0.000239766
104,506.47,1.14799,0.88257,1.53221,0.89468,0.87155,0.93469,0.67189,1.07614,0.7674,1.80869,0.000231071,0.000231071,0.000231071
105,511.021,1.08807,0.84412,1.48061,0.89166,0.88438,0.93393,0.6697,1.04185,0.78346,1.80136,0.000222497,0.000222497,0.000222497
106,515.574,1.1379,0.87112,1.52859,0.91297,0.88208,0.93711,0.67048,1.03801,0.7697,1.8113,0.000214046,0.000214046,0.000214046
107,520.128,1.10081,0.84856,1.52725,0.92426,0.889,0.9448,0.68681,1.01489,0.73804,1.75538,0.000205723,0.000205723,0.000205723
108,524.855,1.08221,0.83122,1.48333,0.9049,0.88629,0.93879,0.67953,1.04984,0.76228,1.7634,0.000197532,0.000197532,0.000197532
109,529.366,1.08972,0.81934,1.48755,0.88226,0.89387,0.93975,0.67273,1.06283,0.76442,1.80516,0.000189475,0.000189475,0.000189475
110,533.892,1.10629,0.84923,1.52588,0.90527,0.88606,0.94085,0.67442,1.03384,0.75355,1.81993,0.000181557,0.000181557,0.000181557
111,538.462,1.09611,0.8281,1.55165,0.91973,0.87795,0.94022,0.6872,1.01036,0.75332,1.77357,0.00017378,0.00017378,0.00017378
112,543.034,1.09373,0.82918,1.51699,0.92079,0.87936,0.944,0.69724,1.00244,0.72559,1.73771,0.000166149,0.000166149,0.000166149
113,547.843,1.11305,0.82875,1.51251,0.89752,0.90181,0.9436,0.68664,1.04424,0.74347,1.7543,0.000158667,0.000158667,0.000158667
114,552.37,1.09468,0.81753,1.49374,0.88527,0.90431,0.93819,0.68529,1.04069,0.75295,1.74179,0.000151336,0.000151336,0.000151336
115,556.901,1.06574,0.80369,1.48452,0.90844,0.89067,0.93931,0.68689,1.03802,0.73985,1.74728,0.000144161,0.000144161,0.000144161
116,561.547,1.07118,0.80083,1.4836,0.90737,0.90062,0.94233,0.69084,1.0286,0.72862,1.75961,0.000137143,0.000137143,0.000137143
117,566.126,1.06554,0.7923,1.47347,0.90511,0.9033,0.94339,0.6843,1.04041,0.74258,1.80457,0.000130287,0.000130287,0.000130287
118,570.741,1.08487,0.82437,1.52349,0.89453,0.9046,0.94521,0.69315,1.03378,0.72083,1.78426,0.000123596,0.000123596,0.000123596
119,575.388,1.04702,0.78347,1.47654,0.89244,0.90171,0.94592,0.70543,1.01851,0.71054,1.75353,0.000117072,0.000117072,0.000117072
120,580.34,1.06839,0.7855,1.47068,0.90469,0.91241,0.94534,0.6903,1.05839,0.74062,1.76118,0.000110718,0.000110718,0.000110718
121,584.927,1.05982,0.78395,1.47362,0.90386,0.8949,0.94264,0.69739,1.0156,0.72724,1.74127,0.000104537,0.000104537,0.000104537
122,589.506,1.04017,0.78094,1.48003,0.91324,0.90402,0.94629,0.70243,0.98575,0.71305,1.72678,9.85311e-05,9.85311e-05,9.85311e-05
123,594.109,1.09735,0.83639,1.49501,0.90444,0.90097,0.94385,0.69581,1.0055,0.72458,1.72795,9.2704e-05,9.2704e-05,9.2704e-05
124,598.784,1.05414,0.79493,1.49864,0.88549,0.9058,0.94476,0.6895,1.03627,0.73234,1.74231,8.70577e-05,8.70577e-05,8.70577e-05
125,603.432,1.09786,0.82414,1.49486,0.91948,0.87363,0.9463,0.69007,1.0422,0.72935,1.75811,8.15947e-05,8.15947e-05,8.15947e-05
126,607.951,1.02128,0.76516,1.4714,0.92246,0.87442,0.94484,0.69443,1.01392,0.71629,1.75571,7.63174e-05,7.63174e-05,7.63174e-05
127,612.486,1.04952,0.78373,1.48207,0.91489,0.87982,0.94327,0.69798,1.00199,0.7124,1.76159,7.12282e-05,7.12282e-05,7.12282e-05
128,617.026,1.0514,0.79885,1.50903,0.92079,0.87939,0.94461,0.69729,1.00617,0.71218,1.77578,6.63292e-05,6.63292e-05,6.63292e-05
129,621.588,1.06761,0.79132,1.46708,0.93582,0.87855,0.94799,0.69505,1.01608,0.71558,1.78682,6.16227e-05,6.16227e-05,6.16227e-05
130,626.182,1.00824,0.75029,1.48457,0.92942,0.87642,0.94306,0.68763,1.02437,0.72382,1.78511,5.71106e-05,5.71106e-05,5.71106e-05
131,630.733,1.0681,0.7983,1.4609,0.92961,0.88291,0.94641,0.69032,1.01369,0.7145,1.76062,5.2795e-05,5.2795e-05,5.2795e-05
