epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.53665,2.86577,5.37505,2.35876,0,0,0,0,3.32874,5.27225,2.87366,8.33e-06,8.33e-06,8.33e-06
2,9.80435,3.23338,5.11527,2.96212,0,0,0,0,3.21262,5.34987,2.91939,2.0042e-05,2.0042e-05,2.0042e-05
3,13.7661,3.36282,6.57303,3.47643,0,0,0,0,3.13229,5.31149,2.91464,2.51566e-05,2.51566e-05,2.51566e-05
4,17.7618,2.90445,4.97116,2.46579,0,0,0,0,3.08234,5.26776,2.9212,2.36739e-05,2.36739e-05,2.36739e-05
5,21.5556,3.08054,5.16989,2.67033,0,0,0,0,3.01426,5.19392,2.95553,1.55938e-05,1.55938e-05,1.55938e-05
